2018-04-12 11:09:34,331 INFO [parse_xml.py:60]  parse xml get total:65
2018-04-12 11:09:34,331 INFO [parse_xml.py:60]  parse xml get total:65
2018-04-12 11:09:34,331 INFO [parse_xml.py:60]  parse xml get total:65
2018-04-12 11:09:34,331 INFO [query.py:45]  测试第 3 页
2018-04-12 11:09:34,331 INFO [query.py:45]  测试第 3 页
2018-04-12 11:09:34,331 INFO [query.py:45]  测试第 3 页
2018-04-12 11:09:34,332 INFO [test_manufacturer.py:47]  id_database_list: [183, 245, 246, 247, 250, 251, 252, 253, 254, 258, 259, 260, 263, 264, 265, 266, 267, 268, 269, 270]
2018-04-12 11:09:34,332 INFO [test_manufacturer.py:47]  id_database_list: [183, 245, 246, 247, 250, 251, 252, 253, 254, 258, 259, 260, 263, 264, 265, 266, 267, 268, 269, 270]
2018-04-12 11:09:34,332 INFO [test_manufacturer.py:47]  id_database_list: [183, 245, 246, 247, 250, 251, 252, 253, 254, 258, 259, 260, 263, 264, 265, 266, 267, 268, 269, 270]
2018-04-12 11:09:34,332 INFO [dataConnect.py:93]  select MAN_ID from bmp_manufacturers where 1=1 limit 60,20
2018-04-12 11:09:34,332 INFO [dataConnect.py:93]  select MAN_ID from bmp_manufacturers where 1=1 limit 60,20
2018-04-12 11:09:34,332 INFO [dataConnect.py:93]  select MAN_ID from bmp_manufacturers where 1=1 limit 60,20
2018-04-12 11:09:34,334 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\Manufacturers.xml
2018-04-12 11:09:34,334 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\Manufacturers.xml
2018-04-12 11:09:34,334 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\Manufacturers.xml
2018-04-12 11:09:34,336 INFO [parse_xml.py:106]  匹配正则: <Manufacturer>(.*?)</Manufacturer>
2018-04-12 11:09:34,336 INFO [parse_xml.py:106]  匹配正则: <Manufacturer>(.*?)</Manufacturer>
2018-04-12 11:09:34,336 INFO [parse_xml.py:106]  匹配正则: <Manufacturer>(.*?)</Manufacturer>
2018-04-12 11:09:34,337 INFO [parse_xml.py:47]  获取参数：['<SqlQuery><IsPageResult>1</IsPageResult><PageInfo><PageSize>20</PageSize><CurrentPage>4</CurrentPage><RowCount>0</RowCount><PageCount>0</PageCount><OrderBy /></PageInfo><QueryTable><TableName>BMP_MANUFACTURERS</TableName><AliasName /></QueryTable><OrderString /><Conditions /></SqlQuery>']
2018-04-12 11:09:34,337 INFO [parse_xml.py:47]  获取参数：['<SqlQuery><IsPageResult>1</IsPageResult><PageInfo><PageSize>20</PageSize><CurrentPage>4</CurrentPage><RowCount>0</RowCount><PageCount>0</PageCount><OrderBy /></PageInfo><QueryTable><TableName>BMP_MANUFACTURERS</TableName><AliasName /></QueryTable><OrderString /><Conditions /></SqlQuery>']
2018-04-12 11:09:34,337 INFO [parse_xml.py:47]  获取参数：['<SqlQuery><IsPageResult>1</IsPageResult><PageInfo><PageSize>20</PageSize><CurrentPage>4</CurrentPage><RowCount>0</RowCount><PageCount>0</PageCount><OrderBy /></PageInfo><QueryTable><TableName>BMP_MANUFACTURERS</TableName><AliasName /></QueryTable><OrderString /><Conditions /></SqlQuery>']
2018-04-12 11:09:34,352 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\result.xml
2018-04-12 11:09:34,352 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\result.xml
2018-04-12 11:09:34,352 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\result.xml
2018-04-12 11:09:34,353 INFO [parse_xml.py:60]  parse xml get total:65
2018-04-12 11:09:34,353 INFO [parse_xml.py:60]  parse xml get total:65
2018-04-12 11:09:34,353 INFO [parse_xml.py:60]  parse xml get total:65
2018-04-12 11:09:34,353 INFO [query.py:45]  测试第 4 页
2018-04-12 11:09:34,353 INFO [query.py:45]  测试第 4 页
2018-04-12 11:09:34,353 INFO [query.py:45]  测试第 4 页
2018-04-12 11:09:34,353 INFO [test_manufacturer.py:47]  id_database_list: [271, 272, 273, 274, 275]
2018-04-12 11:09:34,353 INFO [test_manufacturer.py:47]  id_database_list: [271, 272, 273, 274, 275]
2018-04-12 11:09:34,353 INFO [test_manufacturer.py:47]  id_database_list: [271, 272, 273, 274, 275]
2018-04-12 11:09:34,353 INFO [test_manufacturer.py:51]  mysql result is 65
2018-04-12 11:09:34,353 INFO [test_manufacturer.py:51]  mysql result is 65
2018-04-12 11:09:34,353 INFO [test_manufacturer.py:51]  mysql result is 65
2018-04-12 11:10:07,846 INFO [test.py:71]  test
2018-04-12 11:15:33,885 INFO [test.py:71]  test
2018-04-12 11:15:38,509 INFO [test_manufacturer.py:20]  start test manufacturer
2018-04-12 11:15:38,719 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\Manufacturers.xml
2018-04-12 11:15:38,719 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\Manufacturers.xml
2018-04-12 11:15:38,750 INFO [dataConnect.py:118]  select count(1) from bmp_manufacturers where 1=1
2018-04-12 11:15:38,750 INFO [dataConnect.py:118]  select count(1) from bmp_manufacturers where 1=1
2018-04-12 11:15:38,750 INFO [dataConnect.py:118]  select count(1) from bmp_manufacturers where 1=1
2018-04-12 11:15:41,131 INFO [dataConnect.py:93]  select MAN_ID from bmp_manufacturers where 1=1 limit 0,20
2018-04-12 11:15:41,131 INFO [dataConnect.py:93]  select MAN_ID from bmp_manufacturers where 1=1 limit 0,20
2018-04-12 11:15:41,131 INFO [dataConnect.py:93]  select MAN_ID from bmp_manufacturers where 1=1 limit 0,20
2018-04-12 11:15:41,638 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\Manufacturers.xml
2018-04-12 11:15:41,638 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\Manufacturers.xml
2018-04-12 11:15:41,638 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\Manufacturers.xml
2018-04-12 11:15:41,648 INFO [parse_xml.py:106]  匹配正则: <Manufacturer>(.*?)</Manufacturer>
2018-04-12 11:15:41,648 INFO [parse_xml.py:106]  匹配正则: <Manufacturer>(.*?)</Manufacturer>
2018-04-12 11:15:41,648 INFO [parse_xml.py:106]  匹配正则: <Manufacturer>(.*?)</Manufacturer>
2018-04-12 11:15:41,651 INFO [parse_xml.py:47]  获取参数：['<SqlQuery><IsPageResult>1</IsPageResult><PageInfo><PageSize>20</PageSize><CurrentPage>1</CurrentPage><RowCount>0</RowCount><PageCount>0</PageCount><OrderBy /></PageInfo><QueryTable><TableName>BMP_MANUFACTURERS</TableName><AliasName /></QueryTable><OrderString /><Conditions /></SqlQuery>']
2018-04-12 11:15:41,651 INFO [parse_xml.py:47]  获取参数：['<SqlQuery><IsPageResult>1</IsPageResult><PageInfo><PageSize>20</PageSize><CurrentPage>1</CurrentPage><RowCount>0</RowCount><PageCount>0</PageCount><OrderBy /></PageInfo><QueryTable><TableName>BMP_MANUFACTURERS</TableName><AliasName /></QueryTable><OrderString /><Conditions /></SqlQuery>']
2018-04-12 11:15:41,651 INFO [parse_xml.py:47]  获取参数：['<SqlQuery><IsPageResult>1</IsPageResult><PageInfo><PageSize>20</PageSize><CurrentPage>1</CurrentPage><RowCount>0</RowCount><PageCount>0</PageCount><OrderBy /></PageInfo><QueryTable><TableName>BMP_MANUFACTURERS</TableName><AliasName /></QueryTable><OrderString /><Conditions /></SqlQuery>']
2018-04-12 11:15:43,602 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\result.xml
2018-04-12 11:15:43,602 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\result.xml
2018-04-12 11:15:43,602 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\result.xml
2018-04-12 11:15:43,604 INFO [parse_xml.py:60]  parse xml get total:65
2018-04-12 11:15:43,604 INFO [parse_xml.py:60]  parse xml get total:65
2018-04-12 11:15:43,604 INFO [parse_xml.py:60]  parse xml get total:65
2018-04-12 11:15:43,605 INFO [query.py:45]  测试第 1 页
2018-04-12 11:15:43,605 INFO [query.py:45]  测试第 1 页
